ID,Title,Author,publication year,Language,Genre
1,under the tuscan sun,frances mayes,1996,english,memoir
2,the pained veil,W.somerset Maugham,1925,english,darma
3,the count of monte cristo,Alexandre Dumas,1844,french,adventure
4,My Brilliant Friend,Elena Ferrante,2011,Italian,Fiction
5,Siddhartha,Hermann Hesse,1922,German,Philosophical Fiction
6,Klingsor’s Last Summer,Hermann Hesse,1920,German,Novella
7,The Myth of Sisyphus,Albert Camus,1942,French,Philosophy
8,A Room of One’s Own,Virginia Woolf,1929,English,Essay 
9,The Almanack of Naval Ravikant,Eric Jorgenson,2020,English,Self-help 
10,The Metamorphosis,Franz Kafka,1915,German,Existential Fiction
